,KNN,KNN,KNN_opt,KNN_opt,SVC,SVC,SVC_opt,SVC_opt,RFC,RFC,RFC_opt,RFC_opt,GaussianNB,GaussianNB,LogReg,LogReg,LogReg_opt,LogReg_opt,LinearSVC,LinearSVC,LinearSVC_opt,LinearSVC_opt
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,0.012,0.005,0.013,0.004,0.025,0.01,0.05,0.005,0.247,0.026,0.286,0.031,0.035,0.025,0.129,0.059,0.029,0.009,0.025,0.01,0.018,0.003
score_time,0.057,0.094,0.019,0.002,0.013,0.001,0.034,0.012,0.027,0.004,0.034,0.008,0.015,0.004,0.013,0.002,0.013,0.005,0.017,0.011,0.011,0.001
test_precision,0.267,0.435,0.267,0.435,0.142,0.03,0.114,0.004,0.283,0.183,0.267,0.07,0.115,0.011,0.141,0.019,0.157,0.028,0.35,0.418,0.35,0.418
train_precision,0.666,0.082,0.666,0.082,0.294,0.042,0.114,0.001,0.946,0.017,0.946,0.017,0.119,0.006,0.196,0.016,0.194,0.012,0.584,0.335,0.603,0.345
test_recall,0.027,0.037,0.027,0.037,0.334,0.129,1.0,0.0,0.063,0.044,0.102,0.035,0.96,0.089,0.437,0.107,0.423,0.095,0.038,0.035,0.038,0.035
train_recall,0.093,0.031,0.093,0.031,0.689,0.048,1.0,0.0,1.0,0.0,1.0,0.0,0.994,0.009,0.586,0.033,0.506,0.034,0.084,0.049,0.077,0.045
test_f1,0.047,0.065,0.047,0.065,0.195,0.042,0.204,0.006,0.103,0.071,0.147,0.046,0.205,0.02,0.211,0.028,0.226,0.034,0.067,0.062,0.067,0.062
train_f1,0.162,0.05,0.162,0.05,0.41,0.039,0.205,0.002,0.972,0.009,0.972,0.009,0.213,0.01,0.293,0.017,0.28,0.01,0.146,0.084,0.137,0.079
